Member;Identity
Rozemieke;Secretariaat
Annemieke;Secretariaat
ProfessorGobelijn;Directie
ProfessorZonnebloem;Leerkrachten
GroteSmurf;Leerkrachten
Jommeke;Leerkrachten
Filiberke;Leerkrachten
Suske;1ste leerjaar
Wiske;1ste leerjaar
Asterix;2de leerjaar
Obelix;2de leerjaar
Ideefix;2de leerjaar
PietPienter;3de leerjaar
BertBibber;3de leerjaar
Garfied;4de leerjaar
Jon;4de leerjaar
Nero;5de leerjaar
Petoetje;5de leerjaar
Kuifje;6de leerjaar
KapiteinHaddock;6de leerjaar
Directie;Personeel
Secretariaat;Personeel
Leerkrachten;Personeel
1ste leerjaar;Leerlingen
2de leerjaar;Leerlingen
3de leerjaar;Leerlingen
4de leerjaar;Leerlingen
5de leerjaar;Leerlingen
6de leerjaar;Leerlingen
